Time,T1,T2,Q1,Q2
0,21.221,21.446,50.0,0.0
10.0,21.253,21.511,50.0,0.0
20.0,22.188,21.575,50.0,0.0
30.0,23.477,21.672,50.0,0.0
40.0,24.991,21.897,50.0,0.0
50.0,26.377,22.155,50.0,0.0
60.0,27.924,22.413,50.0,0.0
70.0,29.438,22.768,50.0,0.0
80.0,30.889,23.09,50.0,0.0
90.01,32.5,23.477,50.0,0.0
100.0,33.757,24.057,50.0,0.0
110.0,34.788,24.443,50.0,0.0
120.0,36.045,24.895,50.0,0.0
130.0,37.205,25.378,50.0,0.0
140.0,38.236,25.829,50.0,0.0
150.0,39.268,26.345,50.0,0.0
160.0,40.202,26.699,50.0,0.0
170.0,41.008,27.279,50.0,0.0
180.0,41.878,27.666,50.0,0.0
190.0,42.619,28.021,50.0,0.0
200.0,43.457,28.568,50.0,0.0
210.0,44.102,28.987,50.0,0.0
220.0,44.682,29.438,50.0,0.0
230.0,45.391,29.825,50.0,0.0
240.0,46.035,30.244,50.0,0.0
250.0,46.422,30.599,50.0,0.0
260.0,46.776,30.921,50.0,0.0
270.0,47.163,31.437,50.0,0.0
280.0,47.646,31.727,50.0,0.0
290.0,48.227,31.92,50.0,0.0
300.0,48.613,32.307,50.0,0.0
310.0,48.936,32.661,50.0,0.0
320.0,49.258,32.887,50.0,0.0
330.0,49.322,33.209,50.0,0.0
340.0,49.58,33.499,50.0,0.0
350.0,49.677,33.757,50.0,0.0
360.0,49.902,33.854,50.0,0.0
370.01,50.192,34.176,50.0,0.0
380.01,50.257,34.401,50.0,0.0
390.01,50.482,34.595,50.0,0.0
400.0,50.644,34.788,50.0,0.0
410.0,50.901,34.788,50.0,0.0
420.0,50.869,35.078,50.0,0.0
430.0,51.191,35.207,50.0,0.0
440.0,51.224,35.239,50.0,0.0
450.0,51.449,35.433,50.0,0.0
460.0,51.481,35.594,50.0,0.0
470.0,51.836,35.819,50.0,0.0
480.0,51.965,35.948,50.0,0.0
490.0,51.707,35.98,50.0,0.0
500.0,51.836,36.174,50.0,0.0
510.0,51.868,36.271,50.0,0.0
520.0,52.158,36.367,50.0,0.0
530.0,52.19,36.367,50.0,0.0
540.0,52.48,36.528,50.0,0.0
550.0,52.803,36.657,50.0,0.0
560.0,52.803,36.722,50.0,0.0
570.0,52.803,36.786,50.0,0.0
580.0,52.803,36.754,50.0,0.0
590.0,53.028,37.012,50.0,0.0
600.0,52.642,36.947,50.0,0.0
