Time,T1,T2,Q1,Q2,SP1,SP2
0,20.949499999999997,20.949499999999997,0,100,20.0,40.0
14.0,20.949499999999997,21.9164,0,100,20.0,40.0
15.04,20.949499999999997,21.9164,0,100,20.0,40.0
16.05,20.949499999999997,21.9164,0,100,20.0,40.0
18.01,20.949499999999997,22.238699999999998,0,100,20.0,40.0
19.01,20.949499999999997,22.238699999999998,0,100,20.0,40.0
21.02,20.949499999999997,22.561,0,100,20.0,40.0
22.02,20.949499999999997,22.8833,0,100,20.0,40.0
23.0,20.949499999999997,22.8833,0,100,20.0,40.0
24.02,20.949499999999997,23.205599999999997,0,100,20.0,40.0
25.05,20.949499999999997,23.205599999999997,0,100,20.0,40.0
27.02,20.949499999999997,23.5279,0,100,20.0,40.0
28.03,20.949499999999997,23.5279,0,100,20.0,40.0
30.05,21.2718,23.850199999999997,0,100,20.0,40.0
31.03,21.2718,24.1725,0,100,20.0,40.0
33.0,21.2718,24.494799999999998,0,100,20.0,40.0
34.0,21.2718,24.494799999999998,0,100,20.0,40.0
35.01,21.2718,24.817099999999996,0,100,20.0,40.0
36.0,21.2718,24.817099999999996,0,100,20.0,40.0
37.03,21.2718,25.1394,0,100,20.0,40.0
39.03,21.2718,25.461699999999997,0,100,20.0,40.0
40.01,21.2718,25.461699999999997,0,100,20.0,40.0
41.0,21.2718,25.461699999999997,0,100,20.0,40.0
42.05,21.2718,25.784,0,100,20.0,40.0
43.0,21.2718,25.784,0,100,20.0,40.0
45.03,21.2718,26.4286,0,100,20.0,40.0
46.03,21.2718,26.4286,0,100,20.0,40.0
48.0,21.594099999999997,26.750899999999998,0,100,20.0,40.0
49.0,21.594099999999997,26.750899999999998,0,100,20.0,40.0
51.02,21.594099999999997,27.073199999999996,0,100,20.0,40.0
52.01,21.594099999999997,27.3955,0,100,20.0,40.0
53.03,21.594099999999997,27.3955,0,100,20.0,40.0
54.03,21.594099999999997,27.717799999999997,0,100,20.0,40.0
56.01,21.594099999999997,28.0401,0,100,20.0,40.0
57.0,21.594099999999997,28.0401,0,100,20.0,40.0
58.01,21.594099999999997,28.362399999999997,0,100,20.0,40.0
59.04,21.594099999999997,28.362399999999997,0,100,20.0,40.0
60.01,21.594099999999997,28.6847,0,100,20.0,40.0
61.03,21.594099999999997,29.006999999999998,0,100,20.0,40.0
62.05,21.594099999999997,29.006999999999998,0,100,20.0,40.0
64.0,21.9164,29.329299999999996,0,100,20.0,40.0
65.02,21.9164,29.329299999999996,0,100,20.0,40.0
66.02,21.9164,29.6516,0,100,20.0,40.0
67.04,21.9164,29.6516,0,100,20.0,40.0
68.0,21.9164,29.973899999999997,0,100,20.0,40.0
70.0,21.9164,29.973899999999997,0,100,20.0,40.0
71.02,21.9164,30.2962,0,100,20.0,40.0
72.02,21.9164,30.618499999999997,0,100,20.0,40.0
73.03,22.238699999999998,30.618499999999997,0,100,20.0,40.0
75.03,21.9164,30.940799999999996,0,100,20.0,40.0
76.03,22.238699999999998,30.940799999999996,0,100,20.0,40.0
78.02,22.238699999999998,31.263099999999998,0,100,20.0,40.0
79.01,22.238699999999998,31.263099999999998,0,100,20.0,40.0
81.04,22.238699999999998,31.585399999999996,0,100,20.0,40.0
82.01,22.238699999999998,31.9077,0,100,20.0,40.0
84.03,22.238699999999998,32.23,0,100,20.0,40.0
85.01,22.238699999999998,32.23,0,100,20.0,40.0
87.01,22.238699999999998,32.552299999999995,0,100,20.0,40.0
88.01,22.561,32.552299999999995,0,100,20.0,40.0
90.01,22.561,32.8746,0,100,20.0,40.0
91.0,22.561,32.8746,0,100,20.0,40.0
92.01,22.561,32.8746,0,100,20.0,40.0
93.02,22.561,33.1969,0,100,20.0,40.0
94.01,22.561,33.5192,0,100,20.0,40.0
96.0,22.561,33.5192,0,100,20.0,40.0
97.04,22.561,33.5192,0,100,20.0,40.0
98.03,22.561,33.841499999999996,0,100,20.0,40.0
99.02,22.561,33.841499999999996,0,100,20.0,40.0
100.01,22.561,34.163799999999995,100,100,50.0,40.0
102.03,22.8833,34.163799999999995,100,100,50.0,40.0
103.04,22.8833,34.4861,100,100,50.0,40.0
104.0,22.8833,34.4861,100,100,50.0,40.0
105.04,23.205599999999997,34.8084,100,100,50.0,40.0
106.06,23.205599999999997,34.8084,100,100,50.0,40.0
108.01,23.5279,35.1307,100,100,50.0,40.0
109.03,23.5279,35.1307,100,100,50.0,40.0
111.01,24.1725,35.452999999999996,100,100,50.0,40.0
112.01,24.494799999999998,35.452999999999996,100,100,50.0,40.0
113.03,24.494799999999998,35.452999999999996,100,100,50.0,40.0
114.0,24.817099999999996,35.775299999999994,100,100,50.0,40.0
115.01,25.1394,35.775299999999994,99.4424,100,50.0,40.0
117.01,25.461699999999997,36.0976,96.864,100,50.0,40.0
118.01,25.784,36.0976,96.864,100,50.0,40.0
119.01,26.106299999999997,36.4199,95.57480000000001,100,50.0,40.0
120.01,26.4286,36.4199,95.57480000000001,100,50.0,40.0
121.03,26.750899999999998,36.4199,92.99640000000001,100,50.0,40.0
123.01,27.3955,36.7422,91.70720000000001,100,50.0,40.0
124.03,27.717799999999997,37.064499999999995,90.418,100,50.0,40.0
126.0,28.362399999999997,37.386799999999994,87.8396,100,50.0,40.0
127.03,28.362399999999997,37.386799999999994,86.55040000000001,100,50.0,40.0
129.0,29.006999999999998,37.7091,83.97200000000001,100,50.0,40.0
130.0,29.329299999999996,37.7091,82.68280000000001,100,50.0,40.0
132.01,29.973899999999997,38.0314,80.10440000000001,100,50.0,40.0
133.02,30.2962,38.0314,78.8152,100,50.0,40.0
134.03,30.618499999999997,38.353699999999996,77.52600000000001,100,50.0,40.0
135.01,30.940799999999996,38.353699999999996,76.23680000000002,100,50.0,40.0
136.02,31.263099999999998,38.353699999999996,74.94760000000001,100,50.0,40.0
137.03,31.585399999999996,38.675999999999995,73.65840000000001,100,50.0,40.0
138.02,31.585399999999996,38.675999999999995,72.3692,100,50.0,40.0
140.01,32.23,38.9983,71.08000000000001,100,50.0,40.0
141.03,32.552299999999995,38.9983,69.79080000000002,100,50.0,40.0
143.03,33.1969,39.3206,67.2124,100,50.0,40.0
144.03,33.5192,39.6429,65.92320000000001,100,50.0,40.0
146.0,33.841499999999996,39.965199999999996,64.63400000000001,100,50.0,40.0
147.0,34.163799999999995,39.965199999999996,63.34480000000002,100,50.0,40.0
149.02,34.8084,39.965199999999996,60.766400000000004,0,50.0,40.0
150.02,34.8084,40.287499999999994,59.47720000000001,0,50.0,40.0
151.03,35.1307,40.287499999999994,59.47720000000001,0,50.0,40.0
152.02,35.452999999999996,40.6098,58.18800000000002,0,50.0,40.0
153.02,35.775299999999994,40.6098,56.89880000000002,0,50.0,40.0
154.04,36.0976,40.6098,56.89880000000002,0,50.0,40.0
156.02,36.4199,40.9321,54.32040000000001,0,50.0,40.0
157.02,36.4199,40.9321,54.32040000000001,0,50.0,40.0
158.03,36.7422,40.9321,53.03120000000001,0,50.0,40.0
159.03,37.064499999999995,40.9321,51.74200000000002,0,50.0,40.0
160.02,37.064499999999995,40.9321,51.74200000000002,0,50.0,40.0
162.03,37.7091,40.9321,49.1636,0,50.0,40.0
163.01,37.7091,40.9321,49.1636,0,50.0,40.0
165.04,38.0314,40.9321,47.87440000000001,0,50.0,40.0
166.04,38.353699999999996,40.9321,46.585200000000015,0,50.0,40.0
168.01,38.353699999999996,40.9321,46.585200000000015,0,50.0,40.0
169.01,38.675999999999995,40.9321,45.29600000000002,0,50.0,40.0
171.02,38.9983,40.9321,44.0068,0,50.0,40.0
172.01,38.9983,40.6098,44.0068,0,50.0,40.0
173.03,38.9983,40.6098,42.717600000000004,0,50.0,40.0
174.02,39.3206,40.6098,42.717600000000004,0,50.0,40.0
175.02,39.3206,40.6098,42.717600000000004,0,50.0,40.0
176.06,39.6429,40.6098,41.42840000000001,0,50.0,40.0
178.0,39.6429,40.6098,41.42840000000001,0,50.0,40.0
179.0,39.965199999999996,40.287499999999994,40.13920000000002,0,50.0,40.0
181.02,40.287499999999994,40.287499999999994,40.13920000000002,0,50.0,40.0
182.01,40.287499999999994,40.287499999999994,38.85000000000002,0,50.0,40.0
184.02,40.287499999999994,39.965199999999996,38.85000000000002,100,50.0,40.0
185.02,40.287499999999994,39.965199999999996,38.85000000000002,100,50.0,40.0
186.01,40.287499999999994,39.965199999999996,37.5608,100,50.0,40.0
187.03,40.6098,39.965199999999996,37.5608,100,50.0,40.0
188.02,40.6098,39.965199999999996,37.5608,100,50.0,40.0
190.02,40.6098,39.965199999999996,37.5608,100,50.0,40.0
191.04,40.9321,39.965199999999996,36.27160000000001,100,50.0,40.0
193.04,40.9321,39.6429,36.27160000000001,100,50.0,40.0
194.01,40.9321,39.6429,36.27160000000001,100,50.0,40.0
196.02,41.2544,39.965199999999996,34.98240000000001,100,50.0,40.0
197.03,41.2544,39.965199999999996,34.98240000000001,100,50.0,40.0
199.02,41.2544,39.965199999999996,34.98240000000001,100,50.0,40.0
200.0,41.2544,39.965199999999996,34.98240000000001,100,50.0,40.0
202.01,41.2544,39.965199999999996,34.98240000000001,100,50.0,40.0
203.04,41.2544,40.287499999999994,34.98240000000001,0,50.0,40.0
205.02,41.576699999999995,40.287499999999994,33.69320000000002,0,50.0,40.0
206.02,41.576699999999995,40.287499999999994,33.69320000000002,0,50.0,40.0
207.0,41.576699999999995,40.287499999999994,33.69320000000002,0,50.0,40.0
208.02,41.576699999999995,40.287499999999994,33.69320000000002,0,50.0,40.0
209.01,41.576699999999995,40.287499999999994,33.69320000000002,0,50.0,40.0
211.03,41.898999999999994,40.287499999999994,32.404000000000025,0,50.0,40.0
212.01,41.576699999999995,40.287499999999994,32.404000000000025,0,50.0,40.0
213.0,41.898999999999994,40.287499999999994,32.404000000000025,0,50.0,40.0
214.02,41.898999999999994,40.287499999999994,32.404000000000025,0,50.0,40.0
215.03,41.898999999999994,40.287499999999994,32.404000000000025,0,50.0,40.0
217.03,41.898999999999994,39.965199999999996,32.404000000000025,100,50.0,40.0
218.0,41.898999999999994,39.965199999999996,32.404000000000025,100,50.0,40.0
220.02,41.898999999999994,39.965199999999996,32.404000000000025,100,50.0,40.0
221.01,41.898999999999994,39.965199999999996,32.404000000000025,100,50.0,40.0
223.02,41.898999999999994,39.965199999999996,32.404000000000025,100,50.0,40.0
224.0,42.2213,39.965199999999996,32.404000000000025,100,50.0,40.0
225.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
227.02,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
228.02,42.2213,39.965199999999996,32.404000000000025,100,50.0,40.0
229.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
230.03,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
231.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
232.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
233.05,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
234.05,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
236.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
237.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
239.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
240.0,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
241.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
242.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
243.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
245.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
246.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
248.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
249.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
251.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
252.03,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
253.02,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
254.04,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
256.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
257.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
