Time,T1,T2,Q1,Q2
0,30.244,25.732,50.0,0.0
1.0,30.244,25.668,50.0,0.0
2.0,30.212,25.732,50.0,0.0
3.0,30.051,25.732,50.0,0.0
4.0,29.986,25.668,50.0,0.0
5.0,29.986,25.7,50.0,0.0
6.0,29.922,25.732,50.0,0.0
7.0,29.922,25.636,50.0,0.0
8.0,29.922,25.604,50.0,0.0
9.0,29.954,25.668,50.0,0.0
10.0,29.922,25.571,50.0,0.0
11.0,29.922,25.668,50.0,0.0
12.0,29.922,25.668,50.0,0.0
13.0,30.051,25.636,50.0,0.0
14.0,30.051,25.636,50.0,0.0
15.0,30.115,25.636,50.0,0.0
16.0,30.244,25.636,50.0,0.0
17.0,30.244,25.668,50.0,0.0
18.0,30.244,25.571,50.0,0.0
19.0,30.309,25.539,50.0,0.0
20.0,30.244,25.604,50.0,0.0
21.0,30.309,25.668,50.0,0.0
22.0,30.276,25.571,50.0,0.0
23.0,30.47,25.7,50.0,0.0
24.0,30.566,25.539,50.0,0.0
25.0,30.566,25.571,50.0,0.0
26.0,30.566,25.604,50.0,0.0
27.0,30.631,25.507,50.0,0.0
28.0,30.76,25.571,50.0,0.0
29.0,30.889,25.539,50.0,0.0
30.0,30.889,25.604,50.0,0.0
31.0,30.889,25.539,50.0,0.0
32.0,30.889,25.571,50.0,0.0
33.0,31.146,25.539,50.0,0.0
34.0,31.211,25.539,50.0,0.0
35.0,31.211,25.604,50.0,0.0
36.0,31.243,25.571,50.0,0.0
37.0,31.501,25.636,50.0,0.0
